ISIN|PANZA L1|PANZA L2|PANZA L3|Name|Subindustry
FR0000120404|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Accor SA|Mixed-Type Hotels, Motels and Resorts
US03784Y2000|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Apple Hospitality REIT Inc|Hotel and Motel Equity REITs
US1699051066|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Choice Hotels International, Inc.|Budget Hotels and Motels
FR0000060303|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Covivio Hotels SCA|Hotel and Motel Equity REITs
IE00BJMZDW83|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Dalata Hotel Group PLC|Full Service Hotels and Resorts
US2527843013|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|DiamondRock Hospitality Company|Hotel and Motel Equity REITs
US43283X1054|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Hilton Grand Vacations, Inc.|Vacation Ownership Operators
US43300A2033|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Hilton Worldwide Holdings Inc|Mixed-Type Hotels, Motels and Resorts
US44107P1049|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Host Hotels & Resorts, Inc.|Hotel and Motel Equity REITs
US4485791028|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Hyatt Hotels Corporation Class A|Luxury Hotels and Resorts
GB00BHJYC057|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|InterContinental Hotels Group PLC|Mixed-Type Hotels, Motels and Resorts
US5719032022|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Marriott International, Inc. Class A|Full Service Hotels and Resorts
US57164Y1073|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Marriott Vacations Worldwide Corporation|Vacation Ownership Operators
ES0176252718|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Melia Hotels International SA|Mixed-Type Hotels, Motels and Resorts
US7005171050|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Park Hotels & Resorts, Inc.|Hotel and Motel Equity REITs
